Image Name,Train Caption,Augmented Train Caption
scottish_terrier_13.jpg,a photograph of a black dog laying on a bed with a colorful blanket,a photograph of a black dog laying on a bed with a colorful blanket
scottish_terrier_178.jpg,a photograph of a dog is sitting on the floor in a living room,a photograph of a dog sitting on the floor next to a person
Bombay_119.jpg,a photograph of a black cat sitting on a wooden chair,a photograph of a black cat sitting on a chair looking at the camera
great_pyrenees_152.jpg,a photograph of a white dog laying in the grass with a leash,a photograph of a white dog laying on the ground in the grass
german_shorthaired_130.jpg,a photograph of a dog sitting in the snow being pet by a person,a photograph of a dog standing on a snowy surface with a person reaching out to pet it
english_cocker_spaniel_102.jpg,a photograph of a dog is walking with a toy in its mouth,a photograph of a dog is walking with a toy in its mouth
Bombay_184.jpg,a photograph of a black cat laying on a bed with a red pillow,a photograph of a black cat laying on a bed with a blanket
Siamese_187.jpg,a photograph of a siamese cat is curled up on a person's lap,a photograph of a siamese cat curled up on a bed
chihuahua_174.jpg,a photograph of a small dog sitting in the grass looking up,a photograph of a small dog laying on top of a lush green field
Persian_131.jpg,a photograph of a fluffy cat sitting on the ground with leaves,a photograph of a fluffy cat sitting on the ground looking at the camera
newfoundland_113.jpg,a photograph of a dog sitting on a beach with its tongue out,a photograph of a dog with its tongue out standing on the beach
Sphynx_146.jpg,a photograph of a cat sitting on a bed with a pink blanket,a photograph of a cat with a bald head and a shaved tail
miniature_pinscher_125.jpg,a photograph of a small dog sitting on the floor next to a person,a photograph of a small brown dog sitting on top of a green carpet
american_pit_bull_terrier_138.jpg,a photograph of a dog standing on a kitchen floor next to a dishwasher,a photograph of a dog standing on a tiled floor in a kitchen
chihuahua_182.jpg,a photograph of a small dog sitting on a pillow in front of a window,a photograph of a small dog sitting on a couch in front of a window
english_setter_118.jpg,a photograph of a dog pulling a stick in its mouth,a photograph of a dog is running with a stick in its mouth
samoyed_114.jpg,a photograph of a white dog standing in a grassy yard,a photograph of a white dog standing in a grassy field
american_pit_bull_terrier_161.jpg,a photograph of a white dog with a purple collar standing in the grass,a photograph of a white dog with a purple collar standing in the grass
english_setter_108.jpg,a photograph of a dog sitting on the floor in a room,a photograph of a dog standing in a room with a dresser
British_Shorthair_121.jpg,a photograph of a cat laying on a rug in a room,a photograph of a cat laying on a rug in front of a potted plant
saint_bernard_130.jpg,a photograph of a dog with its tongue out standing in the grass,a photograph of a dog with a pink tongue sticking out
miniature_pinscher_117.jpg,a photograph of a small dog standing on a tile floor,a photograph of a dog laying on a wooden floor with its head on a chair
great_pyrenees_112.jpg,a photograph of a large white dog sitting in a field,a photograph of a white dog with a black nose and a black nose
miniature_pinscher_171.jpg,a photograph of a small black and brown dog sitting on the floor,a photograph of a person holding a small dog in their hand
american_pit_bull_terrier_183.jpg,a photograph of a brown dog with a red collar sitting on a carpet,a photograph of a brown dog with a red collar and a white ball
japanese_chin_182.jpg,a photograph of a dog sitting in the grass outside of a house,a photograph of a dog with a collar and leash in front of a house
scottish_terrier_103.jpg,a photograph of a dog sitting on a rug in a living room,a photograph of a white dog sitting on a rug in a living room
pomeranian_114.jpg,a photograph of a small dog standing on a pillow on the floor,a photograph of a small dog sitting on a pillow on a floor
pomeranian_137.jpg,a photograph of a small black dog standing on a tile floor,a photograph of a small black dog with a fluffy coat
basset_hound_141.jpg,a photograph of a dog with a collar on sitting in the grass,a photograph of a brown and white dog with a black nose
chihuahua_130.jpg,a photograph of a small white dog laying on a bed,a photograph of a small white dog sitting on a bed
saint_bernard_117.jpg,a photograph of a dog standing on a tiled floor with its tongue out,a photograph of a dog with its tongue out sitting on the floor
boxer_151.jpg,a photograph of a dog laying on a brown pillow on the floor,a photograph of a dog sleeping on a dog bed on the floor
Siamese_119.jpg,a photograph of a siamese cat sitting in a bathroom sink,a photograph of a siamese cat sitting in a bathroom sink
Ragdoll_165.jpg,a photograph of a cat sitting on a bed with a lamp on,a photograph of a cat sitting on top of a bed
miniature_pinscher_101.jpg,a photograph of a dog laying on a porch with a leash,a photograph of a dog laying on a wooden deck with a yellow tag
beagle_127.jpg,a photograph of a dog wearing a harness on a leash,a photograph of a dog wearing a sweater on a leash
keeshond_123.jpg,a photograph of a dog laying on the floor with its head on the floor,a photograph of a dog laying on the floor with its head on a table
Egyptian_Mau_106.jpg,a photograph of a cat laying down on a black surface,a photograph of a cat laying on a black surface
english_cocker_spaniel_169.jpg,a photograph of a dog with a toy in its mouth,a photograph of a black dog with a yellow ball in its mouth
keeshond_185.jpg,a photograph of a black dog with a long hair standing in the snow,a photograph of a black dog with a pink tongue sticking out
Birman_154.jpg,a photograph of a cat sitting on a couch with blue eyes,a photograph of a cat sitting on a persons lap
pug_156.jpg,a photograph of a small pug dog sitting on a couch,a photograph of a small pug dog sitting on a couch
Sphynx_185.jpg,a photograph of a cat with big eyes sitting on a red box,a photograph of a cat with big eyes sitting on a box
chihuahua_160.jpg,a photograph of a small dog sitting on a bed with a black and white collar,a photograph of a small dog sitting on a bed with a black and white blanket
english_cocker_spaniel_132.jpg,a photograph of a black and white photo of a dog,a photograph of a black cocker puppy laying down on a white background
staffordshire_bull_terrier_107.jpg,a photograph of a black dog laying in the grass with a ball,a photograph of a black dog laying on the grass with a ball
basset_hound_157.jpg,a photograph of a dog with a collar looking up at the camera,a photograph of a dog with a collar looking up at the camera
basset_hound_111.jpg,a photograph of a dog standing on a trail in the woods,a photograph of a dog is sitting on a log in the woods
beagle_119.jpg,a photograph of a dog running through the snow in the woods,a photograph of a dog is running through the snow
chihuahua_14.jpg,a photograph of a small dog with a pink collar and a pink collar,a photograph of a small dog with a pink collar and a pink collar
newfoundland_165.jpg,a photograph of a shaggy dog standing in a field of grass,a photograph of a fluffy dog standing on a grassy hill
Russian_Blue_107.jpg,a photograph of a cat laying on a furry blanket with a tag on it,a photograph of a cat laying on a bed with a tag on its collar
newfoundland_135.jpg,a photograph of a black dog sitting on a brick wall,a photograph of a black dog with a long hair sitting on a bench
shiba_inu_118.jpg,a photograph of a dog sitting in a field of dry grass,a photograph of a dog sitting in a field of grass
chihuahua_144.jpg,a photograph of a dog laying on a rug on the floor,a photograph of a dog laying on a rug with a toy
leonberger_103.jpg,a photograph of a dog standing in the snow next to a person,a photograph of a dog standing in the snow with its tongue out
pomeranian_147.jpg,a photograph of a small dog standing on a carpeted floor,a photograph of a small brown dog standing on a carpet
Persian_168.jpg,a photograph of a person holding a cat on their lap,a photograph of a person holding a cat on their arm
Egyptian_Mau_118.jpg,a photograph of a cat with green eyes sitting on a black surface,a photograph of a cat with green eyes sitting in the dark
Bombay_162.jpg,a photograph of a black cat sitting on the floor with a tennis ball,a photograph of a black cat with a tennis ball in its mouth
japanese_chin_173.jpg,a photograph of a dog with a long hair standing on the floor,a photograph of a dog laying on its back on the floor
Abyssinian_161.jpg,a photograph of a cat laying in bed with a blanket,a photograph of a cat laying on a bed with a blanket
miniature_pinscher_131.jpg,a photograph of a dog laying on the floor in a room,a photograph of a dog is sitting on the floor in the sun
chihuahua_186.jpg,a photograph of a small dog laying on the floor with a red ball,a photograph of a small white dog laying on a carpet with a red ball
Ragdoll_153.jpg,a photograph of a cat sitting on top of a toilet in a bathroom,a photograph of a cat laying on top of a box
Sphynx_168.jpg,a photograph of a cat sitting on a rug on the floor,a photograph of a cat with blue eyes sitting on a rug
english_cocker_spaniel_114.jpg,a photograph of a dog sitting in the grass near a tree,a photograph of a dog sitting in the grass looking up
german_shorthaired_153.jpg,a photograph of a dog sitting in the grass with a leash,a photograph of a dog sitting in the grass with a leash
Russian_Blue_176.jpg,a photograph of a gray cat laying on a white sheet,a photograph of a cat laying on a bed with a white sheet
scottish_terrier_183.jpg,a photograph of a black dog standing in a yard next to a fence,a photograph of a black dog standing on a gravel path
wheaten_terrier_15.jpg,a photograph of a white dog laying in the grass with leaves,a photograph of a white dog laying on top of a lush green field
german_shorthaired_142.jpg,a photograph of a dog standing on a kitchen floor with a toy in its mouth,a photograph of a dog standing on a kitchen counter with a red collar
english_cocker_spaniel_138.jpg,a photograph of a dog with a leash on a leash,a photograph of a dog with a leash on its neck
newfoundland_170.jpg,a photograph of a dog standing in the snow with its mouth open,a photograph of a brown dog standing in the snow with its mouth open
Maine_Coon_101.jpg,a photograph of a cat laying on the floor with a ball,a photograph of a cat laying on the floor with a ball
Egyptian_Mau_130.jpg,a photograph of a cat laying on a bed with a blanket,a photograph of a cat laying on a bed with a blanket
scottish_terrier_155.jpg,a photograph of a small black dog laying on a tree stump,a photograph of a black cow is standing on a tree
japanese_chin_184.jpg,a photograph of a dog sitting in the grass with a frisbee in its mouth,a photograph of a small dog laying in the grass looking up
leonberger_136.jpg,a photograph of a dog is standing on the grass with a woman,a photograph of a dog standing on a field with a person behind it
american_bulldog_121.jpg,a photograph of a dog standing on a wall next to a body of water,a photograph of a dog standing on a grass covered field
Abyssinian_144.jpg,a photograph of a cat standing next to a glass of water,a photograph of a cat standing on a tile floor in a room
havanese_132.jpg,a photograph of a dog with a tongue sticking out standing on a patio,a photograph of a dog with a tongue sticking out of its mouth
american_pit_bull_terrier_15.jpg,a photograph of a dog running through a grassy field with a frisbee in its mouth,a photograph of a dog running in the grass with a frisbee in its mouth
pomeranian_151.jpg,a photograph of a dog sitting on a bed in a bedroom,a photograph of a dog laying on a bed with a pillow
Maine_Coon_141.jpg,a photograph of a cat laying on a couch in front of a window,a photograph of a cat laying on a couch with its paws on the arm
saint_bernard_18.jpg,a photograph of a puppy laying on a blue blanket with its head on the pillow,a photograph of a puppy laying on a blue blanket
english_setter_177.jpg,a photograph of a dog sitting on a rug in front of a brick wall,a photograph of a dog standing on a chair in a room
great_pyrenees_10.jpg,a photograph of a white dog laying on the ground in the grass,a photograph of a white dog laying on the ground in the grass
newfoundland_125.jpg,a photograph of a large black dog sitting on a bike,a photograph of a black dog sitting on a sidewalk next to a person
havanese_17.jpg,a photograph of a small white dog sitting in the grass,a photograph of a small white dog with a long tongue standing in the grass
basset_hound_15.jpg,a photograph of a dog sitting on the floor in front of a table,a photograph of a dog sitting on the floor in front of a table
keeshond_115.jpg,a photograph of a dog laying on the floor with its tongue out,a photograph of a dog is laying on a wooden floor
yorkshire_terrier_142.jpg,a photograph of a small dog sitting on a tiled floor,a photograph of a small dog is sitting on a tile floor
beagle_174.jpg,a photograph of a dog chewing on a toy on the floor,a photograph of a dog laying on the floor with a toy
Bengal_169.jpg,a photograph of a cat sitting on a counter in a kitchen,a photograph of a cat sitting on a kitchen counter looking at the camera
Siamese_104.jpg,a photograph of a cat laying on a bed with a blue and white blanket,a photograph of a cat laying on a blanket on a bed
yorkshire_terrier_170.jpg,a photograph of a small dog laying on a bed with a white comforter,a photograph of a small dog laying on a bed with a white blanket
leonberger_177.jpg,a photograph of a dog sitting on the floor in front of a door,a photograph of a dog sitting on a tile floor next to a door
samoyed_141.jpg,a photograph of a white dog running across a lush green field,a photograph of a white dog running across a lush green field
great_pyrenees_154.jpg,a photograph of a man standing next to a white dog on a lush green field,a photograph of a white dog standing on its hind legs
Egyptian_Mau_121.jpg,a photograph of a cat laying on a pink blanket on a couch,a photograph of a cat laying on a couch with a pink blanket
beagle_186.jpg,a photograph of a dog chewing on a toy in the grass,a photograph of a dog chewing on a toy in the grass
newfoundland_150.jpg,a photograph of a black dog laying on a sandy beach,a photograph of a black dog laying on a sandy beach
Sphynx_11.jpg,a photograph of a cat standing on a table with a glass of wine,a photograph of a cat is sitting on a desk with a knife
miniature_pinscher_14.jpg,a photograph of a small dog standing on a tiled floor,a photograph of a small dog standing on a tiled floor
Maine_Coon_133.jpg,a photograph of a cat sitting on a window sill looking out,a photograph of a cat sitting on a window sill looking out
boxer_148.jpg,a photograph of a dog standing in the grass looking at the camera,a photograph of a dog standing in the grass looking at the camera
Bombay_198.jpg,a photograph of a black cat with yellow eyes sitting in front of a computer,a photograph of a black cat with yellow eyes sitting in a chair
British_Shorthair_207.jpg,a photograph of a cat is sitting on a cat tree,a photograph of a cat is sitting on a cat bed
miniature_pinscher_135.jpg,a photograph of a dog sitting on a couch with a green collar,a photograph of a dog with a collar and a collar around its neck
german_shorthaired_180.jpg,a photograph of a dog laying in the grass with a toy in its mouth,a photograph of a dog laying in the grass with a ball in its mouth
havanese_14.jpg,a photograph of a small white dog running on a field,a photograph of a small white dog running on a dirt ground
leonberger_149.jpg,a photograph of a dog with its tongue out and a person standing behind it,a photograph of a dog with a long tongue and a big smile
Abyssinian_180.jpg,a photograph of a cat standing on a kitchen counter top,a photograph of a cat standing on a kitchen counter top
scottish_terrier_159.jpg,a photograph of a black dog with a bone in its mouth,a photograph of a black dog with a red background
staffordshire_bull_terrier_145.jpg,a photograph of a black and white dog laying in the grass,a photograph of a black and white dog with a collar on
shiba_inu_15.jpg,a photograph of a dog is sitting on a leather chair,a photograph of a dog sitting on a couch looking at the camera
Bengal_109.jpg,a photograph of a cat laying down on a white surface,a photograph of a cat laying down on a white surface
scottish_terrier_187.jpg,a photograph of a black dog sitting on a table with a person holding a leash,a photograph of a black dog sitting on a table with its tongue out
american_bulldog_158.jpg,a photograph of a dog is sitting in the drivers seat of a car,a photograph of a dog looking out a window at the mountains
samoyed_178.jpg,a photograph of a white dog walking down a road with its tongue out,a photograph of a white dog with a blue collar is running
havanese_115.jpg,a photograph of a dog sitting in the grass looking up,a photograph of a dog sitting in the grass looking up
havanese_155.jpg,a photograph of a dog sitting on a couch with a pillow,a photograph of a small white dog sitting on a couch
Birman_164.jpg,a photograph of a cat with its mouth open and its tongue out,a photograph of a cat with its mouth open and its tongue out
Siamese_114.jpg,a photograph of a cat sitting on a rug looking up,a photograph of a siamese cat sitting on a carpet looking up
keeshond_129.jpg,a photograph of a dog standing on a rock in front of a red house,a photograph of a dog standing on a rock in front of a red building
pug_170.jpg,a photograph of a small dog sitting on the floor looking at the camera,a photograph of a small dog sitting on a carpeted floor
german_shorthaired_181.jpg,a photograph of a dog standing in the grass with its tongue out,a photograph of a dog with a collar standing in the grass
scottish_terrier_154.jpg,a photograph of a small black dog holding a stick in its mouth,a photograph of a black dog holding a stick in its mouth
scottish_terrier_152.jpg,a photograph of a dog laying on a bed with a beer bottle in its mouth,a photograph of a dog laying on a couch with its head on the arm
Egyptian_Mau_170.jpg,a photograph of a cat standing on a wooden platform next to a bowl of water,a photograph of a cat standing on a wooden platform next to a fence
saint_bernard_137.jpg,a photograph of a dog laying on the floor with its head on the floor,a photograph of a dog laying on the floor with its head on the floor
Ragdoll_128.jpg,a photograph of a cat with blue eyes is laying down,a photograph of a cat with blue eyes is looking at the camera
shiba_inu_117.jpg,a photograph of a dog standing on its hind legs on a tiled floor,a photograph of a small dog sitting on a couch looking up
pomeranian_136.jpg,a photograph of a small dog is sitting on a blanket in the car,a photograph of a dog laying on a blanket in a car
american_bulldog_187.jpg,a photograph of a dog laying in a dog bed with a collar,a photograph of a dog laying in a dog bed on a floor
Persian_115.jpg,a photograph of a cat standing on a kitchen counter top,a photograph of a cat sitting on a counter top next to a bottle
miniature_pinscher_152.jpg,a photograph of a dog and a cat laying on a bed,a photograph of two dogs laying on a purple blanket
boxer_152.jpg,a photograph of a dog with a toothbrush in its mouth,a photograph of a dog with a ball in its mouth
Birman_185.jpg,a photograph of a cat yawning on a couch in the sun,a photograph of a cat yawning on a couch with its mouth open
Maine_Coon_152.jpg,a photograph of a cat sitting on a purple towel on a window sill,a photograph of a cat sitting on a purple blanket looking at the camera
shiba_inu_143.jpg,a photograph of a dog standing on a sidewalk with a leash,a photograph of a dog is standing on a sidewalk with a leash
japanese_chin_11.jpg,a photograph of a small dog sitting on a table in a room,a photograph of a small dog with a sad look on its face
keeshond_128.jpg,a photograph of a dog laying on a green blanket with a leash,a photograph of a dog is sitting on a green bench
english_cocker_spaniel_185.jpg,a photograph of a dog and a cat walking down a road,a photograph of a dog running down a street with a cat nearby
Maine_Coon_132.jpg,a photograph of a cat sitting on a window sill looking at the camera,a photograph of a cat with green eyes looking at the camera
leonberger_151.jpg,a photograph of a dog with a big smile on his face,a photograph of a dog with a big smile on his face
Persian_19.jpg,a photograph of a cat with a very big face sitting on a couch,a photograph of a cat with a very large face and a very long whisk
american_pit_bull_terrier_108.jpg,a photograph of a dog sitting on a door mat in front of a door,a photograph of a dog sitting on the ground in front of a door
pug_186.jpg,a photograph of a small dog is sitting on the ground,a photograph of a pug dog sitting on a stone floor
wheaten_terrier_157.jpg,a photograph of a dog laying on a couch with a toy,a photograph of a dog laying on a blanket with a toy in its mouth
shiba_inu_191.jpg,a photograph of a dog with a sad look on its face,a photograph of a dog is looking up at something
samoyed_183.jpg,a photograph of a white dog walking down a dirt road,a photograph of a white dog walking down a dirt road
Birman_117.jpg,a photograph of a cat laying on the floor with a toy,a photograph of a cat with blue eyes is laying on a bed
havanese_119.jpg,a photograph of a dog laying on a brick step next to a potted plant,a photograph of a dog laying on a brick wall next to a potted plant
american_pit_bull_terrier_159.jpg,a photograph of a brown and white dog sitting in a car,a photograph of a brown and white dog sitting in a car
american_bulldog_109.jpg,a photograph of a white puppy standing in the grass,a photograph of a white puppy standing in the grass
german_shorthaired_151.jpg,a photograph of a dog sitting on the grass with its mouth open,a photograph of a dog is sitting in the grass with a frisbee
american_bulldog_15.jpg,a photograph of a white dog with a black harness on,a photograph of a dog with a harness on looking up
beagle_172.jpg,a photograph of a dog chewing on a bone on the floor,a photograph of a dog chewing on a bone on a rug
basset_hound_188.jpg,a photograph of a dog sitting on a log with its tongue hanging out,a photograph of a dog laying on its back on a sidewalk
Russian_Blue_104.jpg,a photograph of a cat sitting on a rock in a yard,a photograph of a cat sitting on a rock in a yard
wheaten_terrier_14.jpg,a photograph of a dog is laying on a bed with a blanket,a photograph of a dog is sitting on a bed with a blanket
Ragdoll_154.jpg,a photograph of a cat laying on the floor with its paws stretched out,a photograph of a cat is laying on the floor looking up
great_pyrenees_118.jpg,a photograph of a white dog laying on a couch in a room,a photograph of a white dog laying on a couch with a blanket
miniature_pinscher_12.jpg,a photograph of a dog sitting in the grass with its tongue out,a photograph of a dog sitting in the grass with its tongue out
yorkshire_terrier_144.jpg,a photograph of a small dog sitting on a hard wood floor,a photograph of a dog laying on a wooden floor with a black background
Maine_Coon_137.jpg,a photograph of a cat sitting on a cat tree looking out the window,a photograph of a cat sitting on a cat tree looking out a window
pug_165.jpg,a photograph of a small dog sitting on a carpeted floor,a photograph of a small dog sitting on a carpeted floor
Maine_Coon_107.jpg,a photograph of a cat laying on a bed in front of a heater,a photograph of a cat laying on the floor in a room
wheaten_terrier_122.jpg,a photograph of a dog sitting in a dog bed on a wooden floor,a photograph of a dog sitting on a dog bed with a laptop on it
Ragdoll_181.jpg,a photograph of a cat is sitting in a cardboard box,a photograph of a cat is sitting in a cardboard box
german_shorthaired_129.jpg,a photograph of a dog sitting in the grass next to a hunting bag,a photograph of a dog sitting on the ground next to a hunting rifle
Maine_Coon_146.jpg,a photograph of a cat is looking out of a window,a photograph of a white cat laying on top of a car
staffordshire_bull_terrier_13.jpg,a photograph of a dog standing in a field of grass,a photograph of a black dog standing on top of a lush green field
beagle_120.jpg,a photograph of a dog is sitting on a leash outside,a photograph of a dog with a collar on standing in front of a door
wheaten_terrier_134.jpg,a photograph of a dog laying on the floor with its head on the floor,a photograph of a white dog with a black nose and a white nose
Egyptian_Mau_131.jpg,a photograph of a cat sitting on the floor with its paws on the floor,a photograph of a cat laying on its back on a carpet
newfoundland_108.jpg,a photograph of a dog laying in the grass with a bone in its mouth,a photograph of a brown dog laying down with a bone in its mouth
miniature_pinscher_13.jpg,a photograph of a small dog sitting on the floor in a room,a photograph of a small dog standing on a tiled floor
samoyed_118.jpg,a photograph of a white dog standing in a muddy stream,a photograph of a white dog standing in a muddy stream
keeshond_140.jpg,a photograph of a dog standing on a kitchen floor next to a refrigerator,a photograph of a dog sitting on a kitchen floor looking at the camera
american_bulldog_106.jpg,a photograph of a dog laying on the floor next to a tray of cupcakes,a photograph of a dog laying on the floor next to a cupcake
basset_hound_134.jpg,a photograph of a dog laying on a blanket on a bed,a photograph of a dog laying on a blanket with its head on the pillow
wheaten_terrier_174.jpg,a photograph of a dog laying on the floor in a kitchen,a photograph of a dog laying on a blue and white checkered floor
Siamese_182.jpg,a photograph of a cat standing on its hind legs next to a jar of pink beads,a photograph of a cat standing on its hind legs next to a jar of pink glitter
leonberger_14.jpg,a photograph of a dog with a red collar and a red bandanna,a photograph of a brown dog with a red collar and a red collar
english_cocker_spaniel_183.jpg,a photograph of a dog sitting on the floor with its tongue out,a photograph of a dog with a happy face sitting on a wooden floor
British_Shorthair_181.jpg,a photograph of a cat laying on a pillow with its eyes open,a photograph of a cat laying on a red cushion with its eyes closed
Abyssinian_178.jpg,a photograph of a cat with a feather in its mouth,a photograph of a cat with a purple feather in its mouth
pug_125.jpg,a photograph of a small pug dog laying on the floor with a toy,a photograph of a pug dog chewing on a toy
